Your the best....you made me feel so much better about myself__																																				
That's sad. Gabbie you are perfect the way you are. I'm not trying to say an eating disorder is good bc it's not.But you are amazing your not fat your nose is perfect your hair is beautiful______																																				
I have struggled with my weight for the past two years. I went on a diet due to me being celiac at age 11 and lost around twenty pounds right away. I went from 140 pounds to 120. Everyone would tell me how amazing I looked and how much weight I lost	 but that soon stopped. I've gained nearly forty pounds since grade six	 but i was the healthiest I had ever been. When my mother started telling me to count my calories and watch what I'm eating	 all the pride I had for my health went down the drain. I would cry myself to sleep after being yelled at by my mom for eating ice cream that wasn't mine. The energy around me was stressful. I had shingles for a week then the stomach flu two weeks after	 I had a big gala which I was performing three times in. It all sort of gathered underneath my skin and I didn't let loose. I went to my naturopath and she told me that the reason I eat a lot is because I'm not balancing my diet between protein	 carbs and fat. She said that if I don't start doing that	 I could get diabetes in the future. So this gathered on my shoulders and weighed me down so damn much	 but I didn't tell anyone. I holed it up inside of myself until one day	 I shattered basically. I was hanging out with two of my best friends	 and we had all being arguing recently due to different reasons	 but we were on good terms then. I sort of fell into a bad move and they didn't like that I wouldn't tell them what was wrong. I had never had a friendship where I can tell people things. So we sat down and I fell apart	 explaining everything. My grandfather had just passed away and so i was stressed because my dad was struggling. He was also having a hard time at work	 and it all just boiled inside of me. We spoke about everything	 we were all crying and it was nice to get that weight off my shoulders. Fast forward to me graduating grade eight. I had improved my eating	 I now usually eat three or two times a day	 I have an extremely positive attitude towards everything. High school holds many things and I'm excited. I want to meet new friends	 I want to expose myself more and I want to just spend my days not worrying about anything. I know that seems extremely hypocritical but nothing is worth worrying about	 it'll all work out and shape you for your future self. I now spend my days jamming out to bands all day	 planning for high school. My mother still gives me some crap but I'm strictly on my diet again and I plan to improve my fitness and maybe lose some weight. For my health and for myself	 not for my mother or anyone else. I'm not fat or skinny	 I'm my god damn self.																
your a great person :)																																				
Hi gabby <3 I rlly hope u see this because I want u to see my appreciation to you!! I have always hated how I looked and thought I was a ugly little weirdo XD but watching this video made me feel better :) and I know a lot of people, can agree! We love u gabby From, Animalgirl101k																																				
thank you for this! <3 <3 <3																																				
"Thank you Gabbie! Ever since I was little I would suck in my stomach or I would try to stand up straighter to make myself look skinnier. I would wear really loose long pants to try to cover up my ""fat"" legs. And I would wear polos to cover up my neck. Thank you for teaching me that you are you and you don't have to compare yourself to others because I know gosh darn well that I would look at someone in a store or in the park and I would think, "" Man, if only I was that skinny.."" but to be really honest I wasn't fat at all! So yet again thanks so so so so SOOOOO much for teaching me to just have some self love. __"																																				
I do almost the exact same thing																																				
I don't understand how someone else's story of their problems help other people to deal with their problems I've watched so many videos about things like this but nothing helps all the tips don't work for me and watching more of these are just making my problems worse I know this seems like I'm an attention seeker I'm not no-one knows about my problems I just know no-ones gonna see this and care but I just need to get something off my chest and at least like this I can do it anonymously																																				
This was so incredibly inspiring. I love you so much for sharing this it made me break down it was so relatable. Gives some of us that are struggling hope and a light at the end of the tunnel																																				
That's just rude to call you fat you are not gabbie																																				
"My brother called me fat and he isn't aloud no more and now years later I have a jerk ""friend"" that called me fat NO ONE but my bff cared and my brother called me fat again I never had a eating disorder but I thought about it when I was like 7 when I was first called fat by my own brother and everything was coming down at school too, my ex bff had a jerk friend that hated me so she was like a bully so I couldn't do anything and she was also a teacher's daughter so. I wrote a note that night saying I'm fat and blah blah blah so just don't call people fat and now people are getting bullied younger so pay attention to what you say to somone because now I'm older and the same thing is happening and I don't know what to do cause I know I shouldn't pay attention to them but it's hard (I'm still young not like 7 though it still gets to me to this day)"																																				
"I'm sure you did help someone, but that someone wasn't me. I have always seen myself as fat and that won't change because it's true. And I'm not happy about it, and it hurts me because I can't so anything about it. ;("																																				
Gabbie	 thank you so much for making this video. You wouldn't believe how much courage this gave me.																																			
Thanks Gabby																																				
I know exactly what you are saying!!! I felt the exact same way when I struggled with my eating disorder & I was so obsessed!!! It didn't help that my family would bring so much attention to it!! They would make me sit & watch Movie Time Specials that specifically dealt with eating disorders & every single day was a power struggle between my adopted mom & I!!! It was the darkest hours of my life & I felt so lost!! I know how you feel!!! It's so hard when you struggle with such a Powerful Mind Disorder!!! You are Beautiful & Strong...Inside & Out!!! Keep Inspiring The World!!! xoxo ____________																																				
Ok were she's taking about this in the first part I did the exact thing last year and I didn't know what was going on and my parents thought I was trying to starve myself but I wasn't and Then that stopped and then the next year I threw up every day for like a few weeks for no reason so ya idk why I wanted to say that but OK ________																																				
this really helped me																																				
This video made me cry because I've gone throw the same things	 (like eating disorders) I would go weeks at a time without eating because everyone called me fat	 saying I was ugly	 I stopped eating the first time when my first boyfriend cheated on me and said I was too fat to be loved. But anyway I'm still going through an eating disorder	 but I've realized that a lot of people with they had my body and wish they could be as beautiful	 loving	 caring	 etc. So I know a lot of people go through the same thing and when I know some is skipping meals I try so hard to help them believe they are beautiful/handsome because it's true everyone is beautiful/handsome. I'm sorry if this bored you but I had to say this. You are amazing btw																													
This video really is great																																				
I want more in depth more vids like this maybe on another channel knowing u like keeping it light but it helps me																																				
Im starting to have a eating disorder i eat but small amounts of my food like half of my plate and my mind is always on how much im eating its really hard not to have these thoughts but i can't help it everytime i look in the mirror im disgusted of myself__.																																				
"Gabbie, You are beautiful and I think you could use a smile today ;)"																																				
Gabbie this video is amazing ... I have watched so many and this one has to be my favorite																																				
Thanks for this vid gab																																				
this is one of the only videos online that have actually made me feel better about myself.																																				
Gab	 I have a eating disorder to SO DO NOT FEEL BAD!__																																			
Gabbie	 thank you so much. You are really helping me with your videos. Thank you.																																			
this made me cry because you're so right and ive never thought this way before. thank you so much ______																																				
I'm 10 and I don't like my body this helped me and this was relatable I feel like I'm fat and sometimes I get called that but I'm so young about worrying about my body so I'm not going to care about calories or weighting my self I'm just going to live a totally normal 10 year old life thank you gabby for helping me																																				
You should make the end part because into a Salam Poem																																				
I found out I'm borderline annorexic. I'm not doing it on purpose	 I'm just never hungry. I have an app that tracks calories as well. I usually eat 800 calories on average. If I eat even more	 I throw up due to feeling so full. It sucks.																																		
This video made me cry. Anyone who has ever made a comment about her weight needs to watch this and cry. Gabbie you are beautiful just the way you are you don't need to change a thing _																																				
This year I will be celebrating six years of when I stopped cutting and when I started eating healthy. For nine years I self harmed and was anorexic	 bulimic	 and I was binge eating.																																		
No idea why someone would call you fat. Your not alone in the anorexia world. I was never skinny like others.																																				
I wish it wasn't hard to accept who we are and to see that we are beautiful in our own ways ___																																				
"I'm 13(14 in two months) I'm ,4'1"" and weigh 87 pounds"																																				
I should not be drinking my home-made smoothie during this video huh? I don 't care	 I care about Gabb if I have to throw up I will do it for her :)																																			
this was such a beautiful accomplishment!																																				
omg when she said goldfish i thought she meant real goldfish																																				
please tell us more ?																																				
Gab I am so happy you shared this story you opened up to me what a big problem I have	 brought me to tears																																			
Hi	hi																																			
Thank you for making this.__																																				
I'm a big fan of Gabbie and I watched this when she first uploaded it and it didn't really connect with me but of course I felt bad for her and love her but now a year later I'm bulimic and I'm watching this and crying it's so weird how different this video makes me think now that I'm struggling as well I love you Gabbie stay strong																																				
I'm a big fan of Gabbie and I watched this when she first uploaded it and it didn't really connect with me but of course I felt bad for her and love her but now a year later I'm bulimic and I'm watching this and crying it's so weird how different this video makes me think now that I'm struggling as well I love you Gabbie stay strong																																				
I've just seen this video and I honestly can't believe the similarities between your story and mine	 just know you're not alone	 trust me Ik how you feel and I'm sure others do too xx																																		
U r so inspiring and funny________																																				
I'm 5'4'' 110lbs and don't consider you fat at all.																																				
self hate because	 i cant wear XL. i hate my size and am too lazy too work out or exersize. i have too much of a sweet tooth to eat healthy .																																			
i love you.. thank u for being so inspiring and sharing ur journey with us.																																				
I would love to hear more about your ED!																																				
This definitely hit home! I actually started tearing up a little bit																																				
Gabi you're like one of those people that I wish was my aunt. I know that's weird but you just are																																				
____																																				
I love you gabby																																				
Gabbie that moved me so much__																																				
You make me so happy honestly I'm crying. I've tried to gain more confidence by losing weight.																																				
A more in depth video would be great <3																																				
i would love to know more about it. not because i want you to bring back memories but so you can see them face to face and get the courage to tell me that im not the only one																																				
This literally made me cry because I've had eating disorders that I didn't realize we're an issue until when one day I was at dance and it was our lunch break and of coarse I didn't eat anything and my friends all asked me aren't you Hungary I said no but then I realized my stomach hurt and it had hurt for days and I put the pieces together and realized I had an eating disorder and the reason I kept feeling like I was about to pass out at dance was because not only was I not eating I wasn't drinking anything and I still haven't fixed it but it's gotten better but it's still not where it should be																																				
I feel the same as you but I don't have eating disorders																																				
dear Gabbie I love you and you are so cool and honestly I am sorry that happened I love you can you respond please I am you biggest fan I am trying to sign a papper to get you more subscribers I am so sorry love you																																				
Gabbie	 your an amazing person	 we all love you __																																		
This story is amazing. I am a CHILD and I am extremely insecure. When I was 9 my parents would tell me I was obese even though I was slightly overweight. Eventually I would cry myself to sleep. One day my grandma told me I was lazy and I cried. She thought I was crying about something else but I wasn't. I told her and she cried cause she knew how I felt. Seeing your grandma cry is the most terrible feeling ever. I am now going on 12 and I am starting dance in a week. This is my last hope before I resort to other terrible things if you know what I mean. This story was so inspiring to me to not be ashamed but I still am. Once again dance is my very last hope before I do bad things to myself. Thank you gabbie for your story.																																				
I completely relate to you	 I have had ED struggles and body dysmorphia. I know it is really hard	 but the bad days make the good days sooooo worth it. Its nice to know someone as amazing as you can relate to me. I appreciate your honesty and thank you for the encouragement	 you deserve happiness too. <3																																	
This helps me and a lot of people I just learned about you and I am watching all of them																																				
"If anyone called this lovely person who is telling her story to help others with the same problem fat, just to be mean, I want you to look at yourself and say, ''Wow, I am better than everyone else"" See? Can't do it, can you? So why do you think insulting her is okay? Everyone has their different flaws, But it takes positivity from all of us to work through them. I know not everyone will read this, but those who do, I hope you make a difference."																																				
"I haven't been diagnosed with an eating disorder, but I've been on the brink of disordered eating. I have a distended gut and I think I may have gastrointestinal issues and I've thought about starving myself several times since junior year in order to lose weight. One time in fifth grade, I think I actually cried about my weight. And as if I wasn't weird enough already, I'm autistic so life can be more difficult to navigate. I look at others and just see how beautiful and amazing they are and then I look in the mirror and I don't see the same. The thing is that the people I see and compare myself to are the people I'm closest to; my friends. They tell me I'm beautiful too, but it's just so difficult to believe when all I see are the things that make me ugly."																																				
I'm in this situation right now. I always think of my weight all day. Everything I eat tastes disgusting but I still eat. I've tried to throw up all of my food	 not succesful. I tried to stop eating but I'm just fat. I always wear jackets and sweatpants so people dont notice my awful body.																																			
I would like to know more because I have a friend who has an eating disorder																																				
Gabbie you are beautiful																																				
Right on	 Gabbie!																																			
i love this video more than words that i can explain																																				
I've been kinda struggling with this	 and i kinda am over it	 but i still find myself forgetting to eat/only eating a little bit of food on some days	 and people like you who aren't afraid of your body/ have gotten over problems has really helped me. So I just want to say thank you__																																	
damn	 but u need you understand that your body is legit GOALS	 your body is amazing	 ur not too skinny	 but just right	 everyone wants to have your amount of body																															
I love you girly																																				
Omg watching this actually told me I have a eating disorder. I can only eat food if I have a glass of water next to me or I will refuse to eat. I'm scared I will swallow and choke.																																				
This is really deep and inspiring and has changed my perspective on so much and I feel better even about myself that I clicked on this video__																																				
Thx	 I needed this	 I have struggled with anorexia for almost a year. This helped me alot																																		
You've always been a skinny mini to me so....																																				
Your such a beautiful and inspiring woman Gabbie!!! you need to make more videos like this, I feel and am fat compared to all of my friends. They all feel confident in bikinis in summer and will take their time getting into a pool. But I felt ashamed of my body, I didn't slowly get in a pool, I didn't want people to see what I really look like. Early this year, my boyfriend (now ex) cheated on me (he said I was fat after we broke up, a lot of people did), I lost so many friends (I had one friend who goes to another school to me, I sat In the toilets on the phone to her at breaks), I felt like I couldn't do it. But after about six months of constantly feeling sorry for myself, and with four months till summer, I'm doing everything possible to turn my life around. I don't have much support. But your videos make everything a lot easier for me. Please please please add me on Instagram: blue_ivy_03 and snapchat: tuscianlowe I love you so much xx																																				
I cried so much. Thank you for making me realize that I don't need to be perfect	 I need to be healthy. I love you a lot gabs	 you are my happiness__																																		
"i am scared for my boyfriend, no one ever addresses that men can get eating disorders and he definately has anorexia.. i find him telling me ""im so fat and ugly"" and trust me, he isnt. ive often asked him about of hes had lunch or if hes hungry (we spend entire days togather) and his usual response is ""no im fine"" and would tell me that the last time he ate was when i was at his house. (i only can see him a couple times a week) and that alone scares me to death. i have always struggled with gaining weight and do everything in my power to bring myself to a healthy weight. he goes to the bathroom and weighs himself everytime with excitement about losing weight. i worry deaprately one day he will colapse at work or home.. its not just a female obcession, anorexia has no gender.."																																				
This video helped me so much and I'm only 11 I have been called fat and ugly and mostly any insult you can imagine I honestly cried when I watched this I love you Gabbie <3																																				
Gabbie I am going through an eating disorder and I still am... But your video is so inspiring to me and I'm not gonna lie I did cry I know. Overdramatic. But I just wanted to say thank you. Thank you for making videos in rough times and thank you for being here.... I've been through alot of shit and your videos truly help me through it. And I hope I will get over this state I am in right now and be confident and happy... I just wanted to say thank you so much. ______																																				
"I am so skinny but still somebody said ""I can feel your fat rolls"" so even if you are super skinny or fat as a truck people will have their own opinion"																																				
______																																				
i had the same problemmm																																				
I know this wasn't the point of this video	 but honestly I have wanted to look like you for likeeeee ever. You are drop dead gorgeous!																																			
This was really beautiful :)																																				
Omg this video helped me sooo much ilysfm																																				
Thank you so much gabbie for this inspirational video	 it really helped me to finally sit down and watch this as I've been putting if off since you posted it. I finally bought myself to watching it after I lost my niece to an eating disorder four days ago and her sister and mother both got really worried about me. I went to a doctor this morning and they told me that i might end up like my niece. I don't know if I'd actually care about taking care of myself probably if it wasn't for sitting down and watching this	 all throughout today all I thought about was that I'll see my niece soon. Thank you xx																																		
is it bad that i was eating while watching this?																																				
